JSON Filename,Total Records,Committee Matches,Accuracy,Precision,Recall,F1 Score
cogito_14b_november_2024_prompt2.json,1000,855,0.855,0.7665941670785961,0.7333913999029777,0.7429837561822552
gpt-4o_november_2024_prompt2.json,1000,967,0.967,0.9103713046556913,0.910164409630023,0.9077462294869394
granite31_dense_8b_november_2024_prompt2.json,1000,811,0.811,0.7051747002078128,0.6587528190077885,0.6707225846131075
llama-3.2-3b-preview_november_2024.json,552,218,0.39492753623188404,0.3968978102189781,0.2805466580316301,0.313144031596157
gpt-4o-mini_november_2024.json,1000,967,0.967,0.9071494954859267,0.9095492565055762,0.9065868371516519
olmo2_13b_november_2024_prompt2.json,1000,846,0.846,0.7489711934156379,0.7021597209320025,0.7154679972067741
phi4_november_2024_prompt2.json,1000,850,0.85,0.7416190476190476,0.7002545579420579,0.7131311382405042
qwq_november_2024_prompt2.json,1000,861,0.861,0.787002785946448,0.7571518459456283,0.7658028645215756
mixtral_november_2024.json,461,419,0.9088937093275488,0.8602272727272727,0.8376423324150597,0.8419813838542042
openai4o_nov24_november_2024.json,1000,938,0.938,0.869624955245256,0.8607712136888248,0.8624082646481829
gemma2_27b_november_2024.json,994,822,0.8269617706237424,0.6982791754018169,0.6446545313756088,0.6596979181475304
qwen25_november_2024_prompt2.json,1000,953,0.953,0.8755582495796018,0.8649864764223727,0.8665938929488785
granite3.3_november_2024_prompt2.json,1000,801,0.801,0.67995670995671,0.6328190584419601,0.6451170720420071
granite3.2_november_2024_prompt2.json,1000,805,0.805,0.6894183079613543,0.6448992329585205,0.6578852502989075
qwq_november_2024.json,996,799,0.8022088353413654,0.7675830602146392,0.695838453417686,0.7187867916743284
cogito_70b_november_2024_prompt2.json,1000,889,0.889,0.8214624639891545,0.7933516439076937,0.8017498951719257
internlm2_november_2024_prompt2.json,1000,813,0.813,0.68877812002812,0.6486162663074204,0.6610271801565148
phi3_november_2024_prompt2.json,1000,580,0.58,0.47957794691087385,0.38090015398668103,0.4088196911874659
openthinker_32b_november_2024_prompt2.json,1000,868,0.868,0.7854157841787568,0.7494016265270436,0.7598492776672255
olmo2_7b_november_2024_prompt2.json,1000,812,0.812,0.7104016740672688,0.666060706475689,0.6785397444413379
mistral_small_november_2024.json,502,397,0.7908366533864541,0.6426330585044279,0.6097263386682473,0.6193731082680636
llama323b_november_2024.json,524,301,0.5744274809160306,0.342807924203273,0.28609652979808015,0.3021026874526481
llama33_november_2024_prompt2.json,1000,888,0.888,0.8137035203667532,0.790958971548047,0.7975684067880797
cogito_32b_november_2024_prompt2.json,1000,859,0.859,0.787711586658955,0.7533900340285788,0.7636606735974151
solar-pro_november_2024.json,1000,330,0.33,0.17785647592370282,0.12923587858360994,0.14202864829808357
